target_id,dataset_id_rdkit,dataset_id,n_rows,pref_name,organism
CHEMBL1944490,1179,30968,30,ATP-binding cassette sub-family C member 8,Rattus norvegicus
CHEMBL1944499,1182,30973,46,Astrosclerin-3,Astrosclera willeyana
CHEMBL1945,1184,31006,842,Melatonin receptor 1A,Homo sapiens
CHEMBL1946,1185,30999,712,Melatonin receptor 1B,Homo sapiens
CHEMBL1947,1186,30994,576,Thyroid hormone receptor beta-1,Homo sapiens
CHEMBL1949,1187,30979,130,Cyclophilin A,Homo sapiens
CHEMBL1951,1193,31027,963,Monoamine oxidase A,Homo sapiens
CHEMBL1952,1194,30996,559,Thymidylate synthase,Homo sapiens
CHEMBL1955,1196,31021,985,Vascular endothelial growth factor receptor 3,Homo sapiens
CHEMBL1955712,1199,30982,43,Vasoactive intestinal polypeptide receptor 1,Rattus norvegicus
CHEMBL1957,1200,31453,2145,Insulin-like growth factor I receptor,Homo sapiens
CHEMBL1961783,1202,30985,53,Nuclear receptor subfamily 1 group D member 1,Homo sapiens
CHEMBL1962,1205,30987,104,GABA receptor alpha-1 subunit,Homo sapiens
CHEMBL1966,1209,30997,476,Dihydroorotate dehydrogenase,Homo sapiens
CHEMBL1968,1210,30989,70,Epoxide hydrolase 1,Homo sapiens
CHEMBL1971,1213,30992,56,Sulfonylurea receptor 2,Homo sapiens
CHEMBL1972,1214,30991,30,Glutamate [NMDA] receptor subunit epsilon 1,Homo sapiens
CHEMBL1973,1215,30993,53,Tyrosinase,Homo sapiens
CHEMBL1974,1216,31201,1902,Tyrosine-protein kinase receptor FLT3,Homo sapiens
CHEMBL1977,1217,30995,358,Vitamin D receptor,Homo sapiens
CHEMBL1978,1218,31126,1515,Cytochrome P450 19A1,Homo sapiens
CHEMBL1980,1219,31001,361,Sodium channel protein type V alpha subunit,Homo sapiens
CHEMBL1981,1220,31140,1597,Insulin receptor,Homo sapiens
CHEMBL1983,1222,31104,1251,Serotonin 1d (5-HT1d) receptor,Homo sapiens
CHEMBL1984,1223,31000,40,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Escherichia coli K-12
CHEMBL1985,1224,31032,683,Glucagon receptor,Homo sapiens
CHEMBL1987,1225,31007,176,Prostanoid FP receptor,Homo sapiens
CHEMBL1988,1226,31003,30,Atrial natriuretic peptide receptor A,Homo sapiens
CHEMBL1991,1228,31111,1266,Inhibitor of nuclear factor kappa B kinase beta subunit,Homo sapiens
CHEMBL1993,1230,31008,249,DNA (cytosine-5)-methyltransferase 1,Homo sapiens
CHEMBL1994,1231,31023,551,Mineralocorticoid receptor,Homo sapiens
CHEMBL1995,1232,31014,393,Prostanoid IP receptor,Homo sapiens
CHEMBL1997,1234,31013,251,Equilibrative nucleoside transporter 1,Homo sapiens
CHEMBL2000,1235,31012,198,Plasma kallikrein,Homo sapiens
CHEMBL2001,6089,31071,906,Purinergic receptor P2Y12,Homo sapiens
CHEMBL2002,6090,31055,707,Inosine-5'-monophosphate dehydrogenase 2,Homo sapiens
CHEMBL2003,6091,31019,272,Retinoic acid receptor gamma,Homo sapiens
CHEMBL2004,6092,31015,137,Retinoid X receptor gamma,Homo sapiens
CHEMBL2007,6094,31054,612,Platelet-derived growth factor receptor alpha,Homo sapiens
CHEMBL2007622,6095,31016,74,Mitochondrial peptide methionine sulfoxide reductase,Bos taurus
CHEMBL2007628,6097,31018,165,Tyrosine-protein phosphatase non-receptor type 5,Homo sapiens
CHEMBL2007629,6098,31045,396,26S proteasome non-ATPase regulatory subunit 14,Homo sapiens
CHEMBL2008,6099,31030,289,Retinoic acid receptor beta,Homo sapiens
CHEMBL2009,6100,31020,75,"Glutamate receptor ionotropic, AMPA 1",Homo sapiens
CHEMBL2010635,6109,31025,43,Peptide deformylase,Staphylococcus aureus
CHEMBL2010636,6110,31026,39,Class 1 phosphodiesterase PDEB1,Trypanosoma brucei
CHEMBL2014,6112,31143,1426,Nociceptin receptor,Homo sapiens
CHEMBL2015,6113,31028,84,Glutamate (NMDA) receptor subunit zeta 1,Homo sapiens
CHEMBL2016,6114,31034,199,Coagulation factor IX,Homo sapiens
CHEMBL202,6118,31068,778,Dihydrofolate reductase,Homo sapiens
CHEMBL2021745,6119,31029,40,Hydroxyacid oxidase 2,Rattus norvegicus
CHEMBL2024,6127,31033,62,Follicle stimulating hormone receptor,Homo sapiens
CHEMBL2026,6128,31041,213,Beta-lactamase AmpC,Escherichia coli K-12
CHEMBL2027,6129,31035,91,Niemann-Pick C1-like protein 1,Homo sapiens
CHEMBL2028,6130,31066,748,Somatostatin receptor 3,Homo sapiens
CHEMBL2029196,6135,31036,40,Peptide deformylase,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
CHEMBL2029198,6136,31037,33,Rap guanine nucleotide exchange factor 4,Homo sapiens
CHEMBL203,6137,33505,5013,Epidermal growth factor receptor erbB1,Homo sapiens
CHEMBL2034,6140,31442,1897,Glucocorticoid receptor,Homo sapiens
CHEMBL2034803,6151,31040,36,Regulator of G-protein signaling 8,Homo sapiens
CHEMBL2034805,6153,31043,42,N-acylethanolamine-hydrolyzing acid amidase,Rattus norvegicus
CHEMBL2034807,6154,31044,33,DNA repair protein RAD51 homolog 1,Homo sapiens
CHEMBL2035,6156,31070,726,Muscarinic acetylcholine receptor M5,Homo sapiens
CHEMBL2039,6159,31120,1164,Monoamine oxidase B,Homo sapiens
CHEMBL204,6160,33510,5742,Thrombin,Homo sapiens
CHEMBL2041,6164,31109,1024,Tyrosine-protein kinase receptor RET,Homo sapiens
CHEMBL2046259,6169,31051,35,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Homo sapiens
CHEMBL2046264,6172,31052,43,Renin,Macaca fascicularis
CHEMBL2047,6175,31057,514,Bile acid receptor FXR,Homo sapiens
CHEMBL2049,6176,31102,794,Oxytocin receptor,Homo sapiens
CHEMBL205,6177,31770,3666,Carbonic anhydrase II,Homo sapiens
CHEMBL2051,6178,31059,296,Neuraminidase,Influenza A virus (A/Puerto Rico/8/1934(H1N1))
CHEMBL2052028,6180,31060,38,Eukaryotic initiation factor 4A-I,Homo sapiens
CHEMBL2052031,1334,31063,94,Peptidyl-prolyl cis-trans isomerase FKBP5,Homo sapiens
CHEMBL2052038,1339,31061,42,Long-chain fatty acid transport protein 1,Homo sapiens
CHEMBL2052039,1340,31062,40,Long-chain fatty acid transport protein 1,Mus musculus
CHEMBL2052040,1341,31064,48,Natural resistance-associated macrophage protein 1,Homo sapiens
CHEMBL2055,1342,31073,269,Retinoic acid receptor alpha,Homo sapiens
CHEMBL2056,1343,31121,895,Dopamine D1 receptor,Homo sapiens
CHEMBL206,1345,31561,2360,Estrogen receptor alpha,Homo sapiens
CHEMBL2061,1347,31103,477,Retinoid X receptor alpha,Homo sapiens
CHEMBL2063,1350,31069,66,Ceramide glucosyltransferase,Homo sapiens
CHEMBL2065,1352,31085,182,Beta-lactamase TEM,Escherichia coli
CHEMBL2068,1353,31117,837,Ephrin type-A receptor 2,Homo sapiens
CHEMBL2069,1354,31132,1135,Thromboxane A2 receptor,Homo sapiens
CHEMBL2069161,1359,31076,59,Probable G-protein coupled receptor 142,Homo sapiens
CHEMBL2072,1363,31077,54,Sodium channel protein type IV alpha subunit,Homo sapiens
CHEMBL2073,1364,31080,137,Tyrosine-protein kinase YES,Homo sapiens
CHEMBL2073670,1374,31082,46,Solute carrier family 22 member 1,Rattus norvegicus
CHEMBL2073676,1380,31088,50,Canalicular multispecific organic anion transporter 1,Rattus norvegicus
CHEMBL2074,1419,31097,103,Maltase-glucoamylase,Homo sapiens
CHEMBL2079848,1424,31095,40,Activated CDC42 kinase 1,Mus musculus
CHEMBL208,1465,31436,1731,Progesterone receptor,Homo sapiens
CHEMBL2083,1467,31100,144,Fatty acid binding protein adipocyte,Homo sapiens
CHEMBL2085,1468,31101,172,Macrophage migration inhibitory factor,Homo sapiens
CHEMBL2088,1470,31098,64,Carboxypeptidase A1,Homo sapiens
CHEMBL209,1471,31168,1302,Trypsin I,Homo sapiens
CHEMBL2093862,1473,31099,93,Runt-related transcription factor 1/Core-binding factor subunit beta,Homo sapiens
CHEMBL2093863,1474,31145,1156,Phosphodiesterase 4,Homo sapiens
CHEMBL2093864,1475,31254,1494,Adrenergic receptor alpha-2,Rattus norvegicus
CHEMBL2093865,1476,31107,463,Histone deacetylase,Homo sapiens
CHEMBL2093866,1477,31106,417,Estrogen receptor,Homo sapiens
CHEMBL2093867,1478,31105,309,Protein kinase C (PKC),Homo sapiens
CHEMBL2093868,1479,31110,454,Dopamine receptor,Rattus norvegicus
CHEMBL2093869,1480,31458,1891,Integrin alpha-IIb/beta-3,Homo sapiens
CHEMBL2093870,1481,31284,1425,Serotonin 2 (5-HT2) receptor,Rattus norvegicus
CHEMBL2093871,1482,31139,1016,"Glutamate receptor ionotropic, AMPA",Rattus norvegicus
CHEMBL2093872,1483,31113,361,GABA-A receptor; anion channel,Homo sapiens
CHEMBL2094107,1485,31114,284,GABA-A receptor; anion channel,Bos taurus
CHEMBL2094108,1486,31452,1639,Protein farnesyltransferase,Homo sapiens
CHEMBL2094109,1487,31118,316,Muscarinic acetylcholine receptor,Homo sapiens
CHEMBL2094110,1488,31119,337,Neuronal acetylcholine receptor,Rattus norvegicus
CHEMBL2094111,1489,31115,90,Adrenergic receptor alpha,Rattus norvegicus
CHEMBL2094112,1490,31127,570,Angiotensin II receptor,Rattus norvegicus
CHEMBL2094114,1492,31116,32,Estrogen receptor,Rattus norvegicus
CHEMBL2094115,1493,31125,516,MAP kinase p38,Homo sapiens
CHEMBL2094116,1494,31138,834,Serotonin 3 (5-HT3) receptor,Rattus norvegicus
CHEMBL2094117,1495,31174,1069,Adenosine A2 receptor,Rattus norvegicus
CHEMBL2094118,1496,31122,245,Adrenergic receptor beta,Homo sapiens
CHEMBL2094119,1497,31123,392,"Glutamate receptor ionotropic, kainate",Rattus norvegicus
CHEMBL2094120,1498,31130,670,GABA-A receptor; alpha-3/beta-3/gamma-2,Homo sapiens
CHEMBL2094121,1499,31129,638,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens
CHEMBL2094122,1500,31131,664,GABA-A receptor; alpha-5/beta-3/gamma-2,Homo sapiens
CHEMBL2094123,1501,31124,85,Serotonin (5-HT) receptor,Rattus norvegicus
CHEMBL2094124,1502,31128,429,Glutamate [NMDA] receptor,Homo sapiens
CHEMBL2094125,1503,31160,865,Phosphodiesterase 3,Homo sapiens
CHEMBL2094126,1504,31156,789,Cyclin-dependent kinase 2/cyclin E,Homo sapiens
CHEMBL2094127,1505,31135,579,Cyclin-dependent kinase 1/cyclin B,Homo sapiens
CHEMBL2094128,1506,31274,1189,Cyclin-dependent kinase 2/cyclin A,Homo sapiens
CHEMBL2094129,1507,31136,364,Opioid receptor,Rattus norvegicus
CHEMBL2094130,1508,31147,553,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens
CHEMBL2094132,1510,31134,274,Serotonin 3 (5-HT3) receptor,Homo sapiens
CHEMBL2094133,1511,31133,42,GABA-A receptor; anion channel,Mus musculus
CHEMBL2094134,1512,31146,404,Tubulin,Bos taurus
CHEMBL2094135,1513,31142,302,Gamma-secretase,Homo sapiens
CHEMBL2094138,1514,31148,425,cAMP-dependent protein kinase (PKA),Homo sapiens
CHEMBL2094250,1516,31229,948,Angiotensin II receptor (AT-1) type-1,Rattus norvegicus
CHEMBL2094251,1517,31153,456,Adrenergic receptor alpha-1,Homo sapiens
CHEMBL2094253,1518,31141,113,Cyclooxygenase,Homo sapiens
CHEMBL2094254,1519,31164,513,Cysteinyl leukotriene receptor,Homo sapiens
CHEMBL2094255,1520,31144,216,DNA topoisomerase II,Homo sapiens
CHEMBL2094256,1521,31189,748,Angiotensin II receptor,Homo sapiens
CHEMBL2094257,1522,31154,292,Adenosine A2 receptor,Homo sapiens
CHEMBL2094258,1523,31314,994,Nuclear factor NF-kappa-B complex,Homo sapiens
CHEMBL2094266,1524,31151,191,Protein kinase C (PKC),Rattus norvegicus
CHEMBL2094267,1525,31155,263,Phosphodiesterase 4,Rattus norvegicus
CHEMBL2094268,1526,31150,165,Melatonin receptor,Homo sapiens
CHEMBL2095149,1528,31171,491,Opioid receptors; mu & delta,Homo sapiens
CHEMBL2095150,1529,31162,336,Phosphodiesterase 1,Homo sapiens
CHEMBL2095152,1531,31161,271,Sulfonylurea receptors; K-ATP channels,Homo sapiens
CHEMBL2095153,1532,31157,31,Phosphodiesterase; PDE3 & PDE4,Homo sapiens
CHEMBL2095154,1533,31163,292,Melatonin receptor,Gallus gallus
CHEMBL2095157,1535,31166,370,Cyclooxygenase,Rattus norvegicus
CHEMBL2095158,1536,31159,175,Adrenergic receptor alpha-2,Homo sapiens
CHEMBL2095159,1537,31165,332,Serotonin 1 (5-HT1) receptor,Rattus norvegicus
CHEMBL2095160,1538,31169,293,Leukotriene B4 receptor,Homo sapiens
CHEMBL2095161,1539,31222,748,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 3,Homo sapiens
CHEMBL2095162,1540,31218,743,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 1,Homo sapiens
CHEMBL2095163,1541,31221,743,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2,Homo sapiens
CHEMBL2095164,1542,31181,470,Geranylgeranyl transferase type I,Homo sapiens
CHEMBL2095165,1543,31183,458,Heat shock protein HSP90,Homo sapiens
CHEMBL2095166,1544,31167,184,Adrenergic receptor beta,Rattus norvegicus
CHEMBL2095167,1545,31170,67,GABA-A receptor; alpha-1/beta-2/gamma-2,Rattus norvegicus
CHEMBL2095171,1546,31173,145,"Sodium channel alpha subunits; brain (Types I, II, III)",Rattus norvegicus
CHEMBL2095172,1547,31172,97,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens
CHEMBL2095173,1548,31178,258,Potassium-transporting ATPase,Homo sapiens
CHEMBL2095174,1549,31180,334,SUMO-activating enzyme,Homo sapiens
CHEMBL2095177,1550,31179,256,Voltage-gated L-type calcium channel,Rattus norvegicus
CHEMBL2095178,1551,31193,446,Protein farnesyltransferase,Bos taurus
CHEMBL2095180,1588,31176,37,Carbonic anhydrase,Homo sapiens
CHEMBL2095181,1589,31177,122,Opioid receptors; mu/kappa/delta,Homo sapiens
CHEMBL2095182,1590,31185,323,Tubulin,Homo sapiens
CHEMBL2095184,1591,31191,386,Integrin alpha-4/beta-7,Homo sapiens
CHEMBL2095185,1592,31182,208,Cholecystokinin receptor,Homo sapiens
CHEMBL2095186,1593,31184,216,Sodium/potassium-transporting ATPase,Homo sapiens
CHEMBL2095188,1595,31194,359,Glycogen synthase kinase-3,Homo sapiens
CHEMBL2095189,1596,31203,373,Platelet-derived growth factor receptor,Homo sapiens
CHEMBL2095190,1597,31187,196,GABA-A receptor; alpha-6/beta-3/gamma-2,Homo sapiens
CHEMBL2095191,1598,31188,139,Casein kinase II,Homo sapiens
CHEMBL2095192,1599,31186,50,Opioid receptor,Mus musculus
CHEMBL2095193,1600,31199,249,Tryptase,Homo sapiens
CHEMBL2095194,1601,31202,266,Coagulation factor VII/tissue factor,Homo sapiens
CHEMBL2095196,1602,31190,71,Monoamine oxidase,Rattus norvegicus
CHEMBL2095197,1603,31204,277,Protein farnesyltransferase,Rattus norvegicus
CHEMBL2095198,1604,31196,119,"Sulfonylurea receptor 2, Kir6.2",Homo sapiens
CHEMBL2095200,1606,31198,181,Serotonin 2 (5-HT2) receptor,Homo sapiens
CHEMBL2095202,1607,31209,276,"Troponin, cardiac muscle",Homo sapiens
CHEMBL2095204,1609,31346,600,Trypsin,Homo sapiens
CHEMBL2095205,1610,31197,87,Monoamine oxidase,Homo sapiens
CHEMBL2095215,1611,31200,73,Ribonucleoside-diphosphate reductase RR1,Homo sapiens
CHEMBL2095216,1612,31206,139,Collagenase,Homo sapiens
CHEMBL2095217,1613,31205,133,Fibroblast growth factor receptor,Homo sapiens
CHEMBL2095221,1615,31223,276,Vasopressin V1 receptor,Rattus norvegicus
CHEMBL2095226,1616,31212,237,Integrin alpha-5/beta-1,Homo sapiens
CHEMBL2095227,1617,31217,214,Vascular endothelial growth factor receptor,Homo sapiens
CHEMBL2095228,1618,31234,321,Potassium-transporting ATPase,Sus scrofa
CHEMBL2095229,1619,31210,82,Voltage-gated L-type calcium channel,Homo sapiens
CHEMBL2095231,1621,31225,229,"Hepatitis C virus serine protease, NS3/NS4A",Hepatitis C virus
CHEMBL2095232,1622,31207,30,Exodeoxyribonuclease V,Escherichia coli (strain K12)
CHEMBL2095942,1625,31216,155,Cyclin-dependent kinase 4/cyclin D,Homo sapiens
CHEMBL2095943,1626,31211,56,Histone deacetylase,Rattus norvegicus
CHEMBL2096,1627,31214,34,MHC class II,Rattus norvegicus
CHEMBL2096617,1628,31213,41,"Glutamate receptor ionotropic, AMPA",Mus musculus
CHEMBL2096618,1629,31227,223,Bcr/Abl fusion protein,Homo sapiens
CHEMBL2096619,1630,31215,44,"Phosphatidylinositol 4-kinase, PI4K",Homo sapiens
CHEMBL2096622,1632,31220,114,Vasopressin receptor,Rattus norvegicus
CHEMBL2096661,1633,31328,460,"Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2",Homo sapiens
CHEMBL2096663,1634,31219,61,Pyruvate dehydrogenase kinase,Rattus norvegicus
CHEMBL2096664,1635,31238,245,Steroid 5-alpha-reductase,Rattus norvegicus
CHEMBL2096665,1636,31226,109,Pyruvate dehydrogenase kinase,Homo sapiens
CHEMBL2096666,1637,31247,249,Glutamate NMDA receptor; Grin1/Grin2b,Rattus norvegicus
CHEMBL2096667,1638,31231,148,"c-Jun N-terminal kinase, JNK",Homo sapiens
CHEMBL2096669,1640,31224,67,Glutamate receptors; NMDA/AMPA,Rattus norvegicus
CHEMBL2096670,1641,31228,99,Glutamate receptor ionotropic AMPA,Homo sapiens
CHEMBL2096671,1642,31237,166,Serotonin 2 (5-HT2) receptor,Mus musculus
CHEMBL2096673,1643,31232,103,Small conductance calcium-activated potassium channel,Rattus norvegicus
CHEMBL2096674,1644,31233,104,Cyclooxygenase,Bos taurus
CHEMBL2096675,1645,31248,275,Integrin alpha-V/beta-5,Homo sapiens
CHEMBL2096677,1646,31230,42,Phosphoglycerate kinase,Homo sapiens
CHEMBL2096680,1648,31245,223,Glutamate NMDA receptor; Grin1/Grin2a,Rattus norvegicus
CHEMBL2096682,1649,31240,146,"Sodium channel alpha subunits; brain (Types I, II, III)",Homo sapiens
CHEMBL2096684,1650,31261,210,Vanilloid receptor,Rattus norvegicus
CHEMBL2096905,1652,31236,54,Dopamine receptor,Homo sapiens
CHEMBL2096907,1653,31235,63,"AMP-activated protein kinase, AMPK",Homo sapiens
CHEMBL2096909,1654,31242,70,"Interleukin-8 receptors, CXCR1/CXCR2",Homo sapiens
CHEMBL2096911,1656,31252,218,Glutamate NMDA receptor; Grin1/Grin2c,Rattus norvegicus
CHEMBL2096912,1657,31246,132,Protein farnesyltransferase,Mus musculus
CHEMBL2096970,1658,31241,63,Dopamine receptor,Bos taurus
CHEMBL2096972,1660,31244,39,"Sulfonylurea receptor 1, Kir6.2",Homo sapiens
CHEMBL2096973,1661,31250,95,Peptide N-myristoyltransferase,Homo sapiens
CHEMBL2096975,1662,31243,42,Acetylcholine receptor,Torpedo californica
CHEMBL2096976,1663,31285,239,Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2,Homo sapiens
CHEMBL2096977,1664,31257,124,Somatostatin receptor,Rattus norvegicus
CHEMBL2096978,1665,31253,51,Thioredoxin reductase,Homo sapiens
CHEMBL2096979,1666,31249,65,Phosphodiesterase 6,Bos taurus
CHEMBL2096980,1667,31272,201,Platelet-derived growth factor receptor,Mus musculus
CHEMBL2096983,1669,31265,104,"Sterol O-acyltransferase, Soat",Rattus norvegicus
CHEMBL2096984,1670,31256,39,Pancreatic elastase,Sus scrofa
CHEMBL2096985,1671,31276,149,Sodium/hydrogen exchanger,Oryctolagus cuniculus
CHEMBL2096986,1672,31267,121,Cholecystokinin receptor,Rattus norvegicus
CHEMBL2096987,1673,31269,173,Geranylgeranyl transferase type I,Bos taurus
CHEMBL2096989,1674,31264,109,Angiotensin-converting enzyme,Homo sapiens
CHEMBL2097161,1678,31260,44,"Phosphodiesterase, PDE1/PDE5",Homo sapiens
CHEMBL2097163,1715,31262,35,Phosphodiesterase 6,Homo sapiens
CHEMBL2097164,1716,31266,93,CaM kinase II,Homo sapiens
CHEMBL2097166,1717,31282,134,Phosphodiesterase 1,Bos taurus
CHEMBL2097167,1718,31263,33,Adenylate cyclase,Homo sapiens
CHEMBL2097168,1719,31268,40,"Protein kinase C, PKC; classical",Rattus norvegicus
CHEMBL2097170,1721,31411,450,Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1,Homo sapiens
CHEMBL2099,1722,31271,53,Prostate specific antigen,Homo sapiens
CHEMBL210,1723,31480,1577,Beta-2 adrenergic receptor,Homo sapiens
CHEMBL2104,1724,31277,68,P2X purinoceptor 4,Homo sapiens
CHEMBL2107,1726,31396,376,C-X-C chemokine receptor type 4,Homo sapiens
CHEMBL2107838,1728,31281,50,"Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",Homo sapiens
CHEMBL2109,1730,31279,86,Dual specificity mitogen-activated protein kinase kinase 3,Homo sapiens
CHEMBL2109234,1734,31280,49,Neuronal acetylcholine receptor; alpha3/beta2,Homo sapiens
CHEMBL2109241,1737,31275,42,Glutamate receptor ionotropic kainate,Homo sapiens
CHEMBL211,1739,31535,1953,Muscarinic acetylcholine receptor M2,Homo sapiens
CHEMBL2111288,1744,31300,134,Cyclin-dependent kinase 7/ cyclin H,Homo sapiens
CHEMBL2111289,1745,31292,64,Dual specificity mitogen-activated protein kinase kinase; MEK1/2,Homo sapiens
CHEMBL2111322,1746,31289,73,Phosphodiesterase 1,Rattus norvegicus
CHEMBL2111331,1753,31297,42,KinA/Spo0F (sporulation kinase A/sporulation initiation phosphotransferase F),Bacillus subtilis (strain 168)
CHEMBL2111332,1754,31296,63,Serotonin 3 receptor (5HT3),Homo sapiens
CHEMBL2111333,1755,31291,31,Serotonin 3 receptor (5HT3),Mus musculus
CHEMBL2111344,1763,31302,54,Platelet-derived growth factor receptor (PDGFr),Rattus norvegicus
CHEMBL2111351,1768,31305,38,Serine/threonine-protein kinase RAF and Dual specificity mitogen-activated protein kinase kinase 1 (Raf/MEK),Homo sapiens
CHEMBL2111353,1769,31303,34,Serine/threonine-protein kinase AKT,Homo sapiens
CHEMBL2111354,1770,31311,60,Tubulin,Sus scrofa
CHEMBL2111357,1771,31323,87,Calpain 1,Homo sapiens
CHEMBL2111358,1772,31307,31,Prostaglandin G/H synthase (cyclooxygenase),Ovis aries
CHEMBL2111360,1774,31333,113,Corticotropin releasing factor receptor,Rattus norvegicus
CHEMBL2111363,1776,31308,49,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens
CHEMBL2111366,1778,31309,35,GABA A receptor alpha-4/beta-3/gamma-2,Homo sapiens
CHEMBL2111367,1779,31330,124,PI3-kinase p110-alpha/p85-alpha,Homo sapiens
CHEMBL2111369,1780,31317,38,Inosine-5'-monophosphate dehydrogenase (IMPDH),Homo sapiens
CHEMBL2111372,1782,31316,45,Alcohol dehydrogenase,Equus caballus
CHEMBL2111377,1785,31318,41,CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase),Homo sapiens
CHEMBL2111381,1786,31315,37,Protein farnesyltransferase (PFT),Plasmodium falciparum
CHEMBL2111384,1789,31319,33,Nicotinic acetylcholine receptor alpha3/betaX,Homo sapiens
CHEMBL2111385,1790,31326,59,Cannabinoid receptor,Rattus norvegicus
CHEMBL2111387,1792,31321,35,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor),Homo sapiens
CHEMBL2111389,1793,31342,146,CDK9/cyclin T1,Homo sapiens
CHEMBL2111390,1794,31327,35,Beta-secretase (BACE),Homo sapiens
CHEMBL2111391,1795,31322,37,Fibroblast growth factor receptor,Mus musculus
CHEMBL2111393,1797,31332,57,Farnesyltransferase,Saccharomyces cerevisiae S288c
CHEMBL2111394,1798,31325,30,RXR alpha/PPAR gamma,Homo sapiens
CHEMBL2111407,1804,31335,59,Integrin alpha-V/beta-1,Homo sapiens
CHEMBL2111413,1843,31343,79,GABA A receptor alpha-2/beta-2/gamma-2,Homo sapiens
CHEMBL2111414,1844,31358,138,Tyrosine-protein kinase ABL,Homo sapiens
CHEMBL2111416,1846,31353,131,Integrin alpha-V/beta-6,Homo sapiens
CHEMBL2111421,1850,31339,62,Transcription factor AP1,Homo sapiens
CHEMBL2111425,1852,31336,31,Fibronectin receptor (Integrin alpha-5/beta-1 and alpha-V/beta-3),Homo sapiens
CHEMBL2111429,1855,31369,145,Histone deacetylase (HDAC1 and HDAC2),Homo sapiens
CHEMBL2111431,1857,31352,95,Epidermal growth factor receptor and ErbB2 (HER1 and HER2),Homo sapiens
CHEMBL2111432,1858,31341,36,PI3-kinase p110-delta/p85-alpha,Homo sapiens
CHEMBL2111435,1860,31344,39,Annexin A2/S100-A10,Homo sapiens
CHEMBL2111437,1862,31354,50,Melanin-concentrating hormone receptor,Homo sapiens
CHEMBL2111453,1871,31363,86,Endothelin receptor,Rattus norvegicus
CHEMBL2111456,1873,31356,33,Vasopressin V1 receptor,Homo sapiens
CHEMBL2111459,1876,31372,75,Rho-associated protein kinase,Homo sapiens
CHEMBL2111463,1879,31365,47,GABA-B receptor,Homo sapiens
CHEMBL2111464,1880,31371,57,Tubulin,Bos taurus
CHEMBL2111472,1883,31367,33,Cytochrome P450 3A4/3A5,Homo sapiens
CHEMBL2111473,1884,31362,35,MAP kinase p38,Mus musculus
CHEMBL2111474,1885,31373,77,GABA B receptor,Rattus norvegicus
CHEMBL2111478,1887,31370,39,GABA transporter,Rattus norvegicus
CHEMBL2111479,1888,31366,36,geranylgeranyltransferase type-I,Rattus norvegicus
CHEMBL2113,1890,31375,50,Cathepsin L,Bos taurus
CHEMBL2116,1893,31377,81,"AMP-activated protein kinase, alpha-2 subunit",Homo sapiens
CHEMBL2120,1896,31379,66,Acidic fibroblast growth factor,Homo sapiens
CHEMBL2123,1899,31390,151,Pyrimidinergic receptor P2Y4,Homo sapiens
CHEMBL2128,1904,31387,107,Peroxisome proliferator-activated receptor alpha,Mus musculus
CHEMBL2129,1905,31386,90,Peroxisome proliferator-activated receptor alpha,Rattus norvegicus
CHEMBL213,1906,31473,1414,Beta-1 adrenergic receptor,Homo sapiens
CHEMBL2135,1910,31385,82,P2X purinoceptor 2,Rattus norvegicus
CHEMBL2136,1911,31381,38,Pepsinogen C,Homo sapiens
CHEMBL214,1913,31785,3356,Serotonin 1a (5-HT1a) receptor,Homo sapiens
CHEMBL2140,1914,31380,40,"Tryptophan 2,3-dioxygenase",Homo sapiens
CHEMBL2146296,1917,31418,278,Small ubiquitin-related modifier 1,Homo sapiens
CHEMBL2146298,1918,31465,1311,Protein skinhead-1,Caenorhabditis elegans
CHEMBL2146300,1919,31384,31,Glycosyltransferase-like protein LARGE1,Homo sapiens
CHEMBL2146303,1922,31399,128,"Methionyl-tRNA synthetase, putative",Trypanosoma brucei brucei (strain 927/4 GUTat10.1)
CHEMBL2146304,1923,31447,940,DNA damage-inducible transcript 3 protein,Mus musculus
CHEMBL2146307,1924,31389,70,ADP-ribosylation factor GTPase-activating protein 1,Rattus norvegicus
CHEMBL2146311,1925,31388,73,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",Homo sapiens
CHEMBL2146313,1926,31391,88,Heat shock protein Hsp-16.2,Caenorhabditis elegans
CHEMBL2189162,2046,31425,53,Pyruvate kinase,Staphylococcus aureus (strain MRSA252)
